name,varisat_res,varisat_time,hibou_res,hibou_time
mahe_v8_c10_SAT,True,0.01596808433532715,True,0.016942501068115234
mahe_v8_c11_SAT,True,0.015907764434814453,True,0.016275644302368164
mahe_v8_c12_SAT,True,0.015968799591064453,True,0.016178131103515625
mahe_v8_c13_SAT,True,0.015705585479736328,True,0.01692342758178711
mahe_v8_c14_SAT,True,0.01600337028503418,True,0.016747474670410156
mahe_v8_c15_SAT,True,0.01591014862060547,True,0.016512632369995117
mahe_v8_c16_SAT,True,0.015512943267822266,True,0.017732858657836914
mahe_v8_c17_SAT,True,0.015857696533203125,True,0.017037630081176758
mahe_v8_c18_SAT,True,0.015956878662109375,True,0.016954898834228516
mahe_v8_c19_SAT,True,0.015957355499267578,True,0.01853799819946289
mahe_v8_c20_SAT,True,0.01592540740966797,True,0.016848325729370117
mahe_v8_c21_SAT,True,0.015913724899291992,True,0.017709016799926758
mahe_v8_c21_UNSAT,False,0.016433000564575195,False,0.025692462921142578
mahe_v8_c22_SAT,True,0.015909910202026367,True,0.017100811004638672
mahe_v8_c22_UNSAT,False,0.015912771224975586,False,0.025130510330200195
mahe_v8_c23_SAT,True,0.015990018844604492,True,0.018144845962524414
mahe_v8_c24_SAT,True,0.016183853149414062,True,0.01829981803894043
mahe_v8_c24_UNSAT,False,0.015575647354125977,False,0.027912378311157227
mahe_v8_c25_SAT,True,0.01577448844909668,True,0.017903566360473633
mahe_v8_c25_UNSAT,False,0.01595902442932129,False,0.027705907821655273
mahe_v8_c26_SAT,True,0.015332698822021484,True,0.017954587936401367
mahe_v8_c26_UNSAT,False,0.015958309173583984,False,0.023945331573486328
mahe_v8_c27_SAT,True,0.015377044677734375,True,0.0200197696685791
mahe_v8_c27_UNSAT,False,0.015956401824951172,False,0.025931835174560547
mahe_v8_c28_SAT,True,0.015857458114624023,True,0.021489858627319336
mahe_v8_c28_UNSAT,False,0.015943527221679688,False,0.025900840759277344
mahe_v8_c29_SAT,True,0.015994548797607422,True,0.022661924362182617
mahe_v8_c29_UNSAT,False,0.015554189682006836,False,0.023968219757080078
mahe_v8_c30_SAT,True,0.015960216522216797,True,0.02130913734436035
mahe_v8_c30_UNSAT,False,0.015720844268798828,False,0.030918121337890625
mahe_v8_c31_SAT,True,0.015729427337646484,True,0.018948078155517578
mahe_v8_c31_UNSAT,False,0.015957355499267578,False,0.0258181095123291
mahe_v8_c32_SAT,True,0.015635251998901367,True,0.01892995834350586
mahe_v8_c32_UNSAT,False,0.015540122985839844,False,0.03161001205444336
mahe_v8_c33_SAT,True,0.01565098762512207,True,0.03394126892089844
mahe_v8_c33_UNSAT,False,0.015956401824951172,False,0.03101825714111328
mahe_v8_c34_SAT,True,0.015958070755004883,True,0.022939443588256836
mahe_v8_c34_UNSAT,False,0.015450716018676758,False,0.046872854232788086
mahe_v8_c35_SAT,True,0.015415191650390625,True,0.022938251495361328
mahe_v8_c35_UNSAT,False,0.01496124267578125,False,0.032910823822021484
mahe_v8_c36_SAT,True,0.015551090240478516,True,0.021940946578979492
mahe_v8_c36_UNSAT,False,0.015956878662109375,False,0.03287196159362793
mahe_v8_c37_SAT,True,0.01591801643371582,True,0.019981861114501953
mahe_v8_c37_UNSAT,False,0.015530586242675781,False,0.040892839431762695
mahe_v8_c38_SAT,True,0.0163724422454834,True,0.019949674606323242
mahe_v8_c38_UNSAT,False,0.01593470573425293,False,0.03490734100341797
mahe_v8_c39_SAT,True,0.016149282455444336,True,0.03248953819274902
mahe_v8_c39_UNSAT,False,0.015689611434936523,False,0.04288506507873535
mahe_v8_c3_SAT,True,0.015815019607543945,True,0.0161130428314209
mahe_v8_c4_SAT,True,0.01598072052001953,True,0.01595759391784668
mahe_v8_c5_SAT,True,0.016035795211791992,True,0.016000032424926758
mahe_v8_c6_SAT,True,0.015971660614013672,True,0.015958070755004883
mahe_v8_c7_SAT,True,0.015958547592163086,True,0.016380786895751953
mahe_v8_c8_SAT,True,0.015923500061035156,True,0.015958547592163086
mahe_v8_c9_SAT,True,0.01595783233642578,True,0.01617741584777832
