name,varisat_res,varisat_time,hibou_res,hibou_time
uf20-01,True,0.015922069549560547,True,1.200981855392456
uf20-010,True,0.015923023223876953,True,0.2896151542663574
uf20-0100,True,0.01622772216796875,True,0.7387163639068604
uf20-01000,True,0.015645265579223633,True,1.3839983940124512
uf20-0101,True,0.015948772430419922,True,0.25025224685668945
uf20-0102,True,0.015980958938598633,True,0.3126869201660156
uf20-0103,True,0.015997886657714844,True,0.9611856937408447
uf20-0104,True,0.01612234115600586,True,0.6017343997955322
uf20-0105,True,0.016276121139526367,True,2.108290672302246
uf20-0106,True,0.01597905158996582,True,0.9805338382720947
uf20-0107,True,0.016010761260986328,True,1.6351723670959473
uf20-0108,True,0.0161745548248291,True,0.6174721717834473
uf20-0109,True,0.016019582748413086,True,0.3076167106628418
uf20-011,True,0.01594853401184082,True,0.1895008087158203
uf20-0110,True,0.015958309173583984,True,0.31615376472473145
uf20-0111,True,0.015956640243530273,True,0.04162716865539551
uf20-0112,True,0.015387296676635742,True,0.681790828704834
uf20-0113,True,0.01608753204345703,True,0.4438133239746094
uf20-0114,True,0.015434026718139648,True,0.47592926025390625
uf20-0115,True,0.015946626663208008,True,0.40096282958984375
uf20-0116,True,0.015840768814086914,True,0.5287911891937256
uf20-0117,True,0.015957117080688477,True,1.1550240516662598
uf20-0118,True,0.015947580337524414,True,0.278059720993042
uf20-0119,True,0.015926837921142578,True,0.3935976028442383
uf20-012,True,0.01637578010559082,True,0.27912092208862305
uf20-0120,True,0.015738725662231445,True,0.3536722660064697
uf20-0121,True,0.015887022018432617,True,0.035581350326538086
uf20-0122,True,0.015963315963745117,True,0.03480839729309082
uf20-0123,True,0.015451908111572266,True,0.18601608276367188
uf20-0124,True,0.015936613082885742,True,0.03191542625427246
uf20-0125,True,0.015679597854614258,True,0.056028127670288086
uf20-0126,True,0.015892505645751953,True,0.49185800552368164
uf20-0127,True,0.015899658203125,True,0.10973811149597168
uf20-0128,True,0.016419410705566406,True,0.930229663848877
uf20-0129,True,0.016426563262939453,True,0.23569202423095703
uf20-013,True,0.015839815139770508,True,3.3900580406188965
uf20-0130,True,0.01630568504333496,True,0.8377635478973389
uf20-0131,True,0.015599727630615234,True,0.13877606391906738
uf20-0132,True,0.01621270179748535,True,0.06087207794189453
uf20-0133,True,0.01595759391784668,True,0.6538252830505371
uf20-0134,True,0.0158231258392334,True,0.5255265235900879
uf20-0135,True,0.01589226722717285,True,0.8806047439575195
uf20-0136,True,0.015845298767089844,True,0.31741952896118164
uf20-0137,True,0.01589655876159668,True,0.16052460670471191
uf20-0138,True,0.0159604549407959,True,0.7338929176330566
uf20-0139,True,0.015752792358398438,True,0.7907965183258057
uf20-014,True,0.015963077545166016,True,0.04819989204406738
uf20-0140,True,0.015956401824951172,True,0.035050153732299805
uf20-0141,True,0.015853404998779297,True,1.115600347518921
uf20-0142,True,0.01620197296142578,True,0.10085201263427734
uf20-0143,True,0.015958786010742188,True,0.3205068111419678
uf20-0144,True,0.015497922897338867,True,0.5822672843933105
uf20-0145,True,0.01595473289489746,True,0.36319756507873535
uf20-0146,True,0.016042709350585938,True,0.8484692573547363
uf20-0147,True,0.01610732078552246,True,0.2934603691101074
uf20-0148,True,0.015800952911376953,True,0.23809576034545898
uf20-0149,True,0.01595592498779297,True,1.4494497776031494
uf20-015,True,0.016506433486938477,True,3.0912179946899414
uf20-0150,True,0.01661515235900879,True,0.07782888412475586
uf20-0151,True,0.016438007354736328,True,0.0724785327911377
uf20-0152,True,0.015905380249023438,True,0.3406047821044922
uf20-0153,True,0.015923500061035156,True,0.15784525871276855
uf20-0154,True,0.016001462936401367,True,0.8998644351959229
uf20-0155,True,0.01605057716369629,True,0.11205863952636719
uf20-0156,True,0.015956878662109375,True,0.3715989589691162
uf20-0157,True,0.01588153839111328,True,1.5936534404754639
uf20-0158,True,0.015961408615112305,True,0.37830257415771484
uf20-0159,True,0.015686750411987305,True,1.0630006790161133
uf20-016,True,0.01598954200744629,True,0.7043602466583252
uf20-0160,True,0.015819549560546875,True,0.13924193382263184
uf20-0161,True,0.016670942306518555,True,0.2612295150756836
uf20-0162,True,0.016957998275756836,True,0.4625988006591797
uf20-0163,True,0.015892982482910156,True,0.14784669876098633
uf20-0164,True,0.0169222354888916,True,0.8539071083068848
uf20-0165,True,0.01633453369140625,True,0.0754702091217041
uf20-0166,True,0.015957355499267578,True,0.08078956604003906
